"GeneSymbol","log2FoldChange","padj","Source","Avg_Intron_FC","Median_Intron_FC","Avg_IntronExon_Ratio","Median_IntronExon_Ratio","Num_Retained_Introns","Scaled_Chromatin_FC","Scaled_Intron_FC","Scaled_IntronExon_Ratio","GRIPP_Score","GRIPP_Definition"
"CDKL3",2.17761149360152,0.000419577985157263,"Chromatin_Enriched",1.72407141500117,1.51763290563979,4.44731361932528,4.44731361932528,10,6.81887473805474,0.854867151619319,7.30508649929454,3.89394879852213,TRUE
"IDI2-AS1",1.68920809643273,0.00378160656155881,"Chromatin_Enriched",1.57237397833963,1.64662204383775,5.625,5.625,4,4.41893622091751,0.415005310104868,9.40998707548701,3.52537347260266,TRUE
"SNHG22",1.24091507638663,0.0238169855181987,"Chromatin_Enriched",0.96603433267134,0.96603433267134,8.22772277227723,8.22772277227723,1,2.2160938737735,-1.34313694329338,14.061881461747,3.01938785441274,TRUE
"LINC00630",1.66640752589924,1.56082473070573e-05,"Chromatin_Enriched",1.77071991488996,1.65388204565241,2.57744665194996,2.57744665194996,15,4.30689775486009,0.990129127803852,3.9630388016922,2.3559286065748,TRUE
"NR2F1-AS1",1.41927537821491,0.00433650219277986,"Chromatin_Enriched",2.02299447362915,2.03741291627186,3.37219186399514,3.37219186399514,8,3.09252872407815,1.72162436210924,5.38350156852975,2.28348420210296,TRUE
"MAP2",2.204432720239,5.32869082827442e-07,"Chromatin_Enriched",2.85493932381145,3.1451506286566,1.48606356968215,1.48606356968215,15,6.9506700843961,4.13393139835865,2.01238970155054,2.27256876653938,TRUE
"C3orf35",1.51116626154819,0.000584141816037347,"Chromatin_Enriched",1.89986547994723,1.88157932379022,2.60586319218241,2.60586319218241,6,3.54406626776376,1.36459956922769,4.01382820784497,2.14887782782327,TRUE
"PLAC8L1",1.54577499490265,0.00230762930345122,"Chromatin_Enriched",1.33777005486811,1.33777005486811,2.26657263751763,2.26657263751763,2,3.71412821386852,-0.265252155516854,3.40740794543063,2.05162635265131,TRUE
"GHRLOS",1.4339444466919,0.00127845746695396,"Chromatin_Enriched",1.90234066843584,2.21216173903364,2.62412022065817,2.62412022065817,9,3.16461025064518,1.37177662502149,4.04645933136715,2.03768468478567,TRUE
"FGF18",1.99897787136711,0.00198365375474273,"Chromatin_Enriched",2.98509963963569,2.98509963963569,1.32621951219512,1.32621951219512,1,5.94109683368046,4.51134421079983,1.72669747123653,1.98484237972032,TRUE
"GRIN2C",2.54966532426352,1.47020303725226e-07,"Chromatin_Enriched",2.76179681587453,2.76179681587453,0.893794749403341,0.893794749403341,2,8.64708953719464,3.86385541048408,0.953816721916126,1.96579795833208,TRUE
"KCNJ14",1.37524241377881,0.000256940814027016,"Chromatin_Enriched",1.44351522770426,1.44351522770426,2.33959761220429,2.33959761220429,2,2.87615756862239,0.0413665156921164,3.53792682874006,1.83426434570814,TRUE
"LINC01322",1.23265246827044,0.0177789793845831,"Chromatin_Enriched",1.44656377640566,1.44656377640566,3.00692041522491,3.00692041522491,2,2.1754926994471,0.0502060865857118,4.7306451751811,1.80852611415211,TRUE
"IQCN",1.33876282170696,0.0298080158962142,"Chromatin_Enriched",1.92769988274115,1.92769988274115,2.39953810623557,2.39953810623557,2,2.69690251304703,1.44530819515988,3.64505957859101,1.79879408894665,TRUE
"ATF7IP2",1.31314924489189,0.000236879654252274,"Chromatin_Enriched",1.6032510191072,1.5327085881382,2.29178832116788,2.29178832116788,8,2.57104137056424,0.504536368186267,3.45247640161342,1.71643272316432,TRUE
"DRD4",1.85679825340623,0.000228019628517863,"Chromatin_Enriched",1.95476719861148,1.90215288777319,1.11161116111611,1.11161116111611,3,5.24244825041058,1.52379257608016,1.3431240095284,1.70698037287047,TRUE
"LINC00886",1.33642152270954,0.00418892190600762,"Chromatin_Enriched",1.63787210252033,1.63787210252033,2.14649033570702,2.14649033570702,1,2.6853977330299,0.604923651191575,3.19278263395606,1.69767197677853,TRUE
"SLFNL1-AS1",1.19481971310122,0.000377267642936905,"Chromatin_Enriched",1.29136818300222,1.46706614886729,2.89057389235801,2.89057389235801,3,1.98958841035663,-0.399799009160709,4.52269689027335,1.69573764414118,TRUE
"PVT1",1.16850369026355,0.000220989605924473,"Chromatin_Enriched",1.62588063629823,1.68008105103245,3.05559616459561,3.05559616459561,8,1.86027555710439,0.570153199356721,4.81764423925983,1.68586044164087,TRUE
"SLC44A5",1.75534331513026,0.00384558635493616,"Chromatin_Enriched",1.58355759804218,1.58355759804218,1.17507418397626,1.17507418397626,1,4.74391442461466,0.447433330415708,1.45655264008513,1.66949863302689,TRUE
"LINC01909",1.10120277114086,0.0328869456990787,"Chromatin_Enriched",1.04540566710063,1.04540566710063,3.55253623188406,3.55253623188406,1,1.52956928237825,-1.11299184596112,5.70583438150238,1.64830978502611,TRUE
"AVIL",2.02549172431667,0.000107373962887705,"Chromatin_Enriched",2.11892575065019,2.11892575065019,0.890710382513661,0.890710382513661,1,6.07138179340888,1.99978666397761,0.9483039761208,1.64436048353056,TRUE
"FAM53A",1.28813161940591,0.00820586736335822,"Chromatin_Enriched",1.36732512707061,1.37220423538139,2.17150760719225,2.17150760719225,3,2.44810864044982,-0.17955427708737,3.23749646441902,1.6303506579828,TRUE
"TBC1D3B",0.971854001740527,0.0382354068907797,"Chromatin_Enriched",0.893513264927442,0.893513264927442,5.88571428571429,5.88571428571429,1,0.893969498208694,-1.55341900941422,9.87596652402848,1.62198166552519,TRUE
"IQANK1",1.27181344461152,0.0188850960246681,"Chromatin_Enriched",1.36741006197128,1.36741006197128,2.03499469777306,2.03499469777306,2,2.3679236613005,-0.179307999875056,2.99350442510416,1.5522100527116,TRUE
