"GeneSymbol","log2FoldChange","padj","gene_id","Source","Avg_Intron_FC","Median_Intron_FC","Avg_IntronExon_Ratio","Median_IntronExon_Ratio","Num_Retained_Introns","GRIPP_Score","GRIPP_Definition"
"GRIN2C",2.54966532426352,1.47020303725226e-07,"ENSG00000161509","Chromatin_Enriched",2.78727974003809,2.78727974003809,2.49638227730071,0.761273826127383,238,2.66582642011766,TRUE
"FGF18",1.99897787136711,0.00198365375474273,"ENSG00000156427","Chromatin_Enriched",2.98509963963569,2.98509963963569,3.10937638950645,1.55238439306358,20,2.4427746771771,TRUE
"NECAB2",2.01100203966061,1.00990908494352e-07,"ENSG00000103154","Chromatin_Enriched",2.6168625233067,2.53286188675191,5.09190227275441,0.500867052023121,2464,2.29401740880081,TRUE
"CGGBP1",1.76758332060811,2.14669815646722e-06,"ENSG00000163320","Chromatin_Enriched",2.26437933308002,2.42693659559902,4.0761918789038,0.915368991198375,210,2.00061968916682,TRUE
