"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue"
"GSE15750_WT_VS_TRAF6KO_DAY10_EFF_CD8_TCELL_DN","GSE15750_WT_VS_TRAF6KO_DAY10_EFF_CD8_TCELL_DN","36/4231","200/21355",0.766415277018125,0.802419262662359,0.159175515479771
"GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP","GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_UP","36/4231","200/21355",0.766415277018125,0.802419262662359,0.159175515479771
"GSE17721_CTRL_VS_CPG_0.5H_BMDC_DN","GSE17721_CTRL_VS_CPG_0.5H_BMDC_DN","36/4231","200/21355",0.766415277018125,0.802419262662359,0.159175515479771
"GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP","GSE19825_NAIVE_VS_DAY3_EFF_CD8_TCELL_UP","36/4231","200/21355",0.766415277018125,0.802419262662359,0.159175515479771
"GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_UP","GSE27670_CTRL_VS_BLIMP1_TRANSDUCED_GC_BCELL_UP","36/4231","200/21355",0.766415277018125,0.802419262662359,0.159175515479771
"GSE28237_EARLY_VS_LATE_GC_BCELL_UP","GSE28237_EARLY_VS_LATE_GC_BCELL_UP","36/4231","200/21355",0.766415277018125,0.802419262662359,0.159175515479771
"GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP","GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP","36/4231","200/21355",0.766415277018125,0.802419262662359,0.159175515479771
"GSE43863_TH1_VS_TFH_EFFECTOR_CD4_TCELL_UP","GSE43863_TH1_VS_TFH_EFFECTOR_CD4_TCELL_UP","36/4231","200/21355",0.766415277018125,0.802419262662359,0.159175515479771
"GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN","GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN","36/4231","200/21355",0.766415277018125,0.802419262662359,0.159175515479771
"GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_DN","GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_DN","32/4231","179/21355",0.769810519006277,0.805655514972156,0.159817489262809
"GSE19198_CTRL_VS_IL21_TREATED_TCELL_1H_UP","GSE19198_CTRL_VS_IL21_TREATED_TCELL_1H_UP","35/4231","195/21355",0.769820661789625,0.805655514972156,0.159817489262809
"GSE18281_CORTICAL_VS_MEDULLARY_THYMOCYTE_DN","GSE18281_CORTICAL_VS_MEDULLARY_THYMOCYTE_DN","35/4231","196/21355",0.780246348549924,0.816233220952431,0.161915783608856
"GSE2706_UNSTIM_VS_2H_LPS_DC_UP","GSE2706_UNSTIM_VS_2H_LPS_DC_UP","35/4231","196/21355",0.780246348549924,0.816233220952431,0.161915783608856
"GSE9946_MATURE_STIMULATORY_VS_LISTERIA_INF_MATURE_DC_DN","GSE9946_MATURE_STIMULATORY_VS_LISTERIA_INF_MATURE_DC_DN","23/4231","132/21355",0.785881501729024,0.82196053414874,0.163051907917877
"GSE14386_UNTREATED_VS_IFNA_TREATED_ACT_PBMC_MS_PATIENT_UP","GSE14386_UNTREATED_VS_IFNA_TREATED_ACT_PBMC_MS_PATIENT_UP","25/4231","143/21355",0.787955266327205,0.823961382128367,0.16344881515001
"VOIGT_PBMC_FLUARIX_AGE_50_74YO_FEMALES_VS_MALES_0DY_TO_28D_UP","VOIGT_PBMC_FLUARIX_AGE_50_74YO_FEMALES_VS_MALES_0DY_TO_28D_UP","3/4231","20/21355",0.788214317914889,0.82406416349821,0.163469203839923
"HOEK_MONOCYTE_2011_2012_TIV_ADULT_7DY_DN","HOEK_MONOCYTE_2011_2012_TIV_ADULT_7DY_DN","2/4231","14/21355",0.797452569403447,0.833552583760618,0.165351417112503
"GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_UP","GSE29618_LAIV_VS_TIV_FLU_VACCINE_DAY7_BCELL_UP","35/4231","198/21355",0.800156655296802,0.836038119659888,0.165844471649476
"GSE7460_TREG_VS_TCONV_ACT_WITH_TGFB_UP","GSE7460_TREG_VS_TCONV_ACT_WITH_TGFB_UP","35/4231","198/21355",0.800156655296802,0.836038119659888,0.165844471649476
"GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_DN","GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_2H_DN","32/4231","182/21355",0.801354869733857,0.837119433922102,0.166058971429195
"GSE15659_TREG_VS_TCONV_UP","GSE15659_TREG_VS_TCONV_UP","34/4231","193/21355",0.803731323109238,0.839430880655655,0.16651749198377
"GSE9946_IMMATURE_VS_LISTERIA_INF_MATURE_DC_UP","GSE9946_IMMATURE_VS_LISTERIA_INF_MATURE_DC_UP","24/4231","139/21355",0.80430863697414,0.839862716058146,0.16660315496071
"GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP","GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP","35/4231","199/21355",0.8096398142672,0.845257370251256,0.167673289866463
"ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NAIVE_NOT_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP","ERWIN_COHEN_PBMC_TC_83_AGE_18_45YO_NAIVE_NOT_PREVIOUSLY_IMMUNIZED_24HR_DEG_CANONICAL_PATHWAY_MEMBERS_UP","6/4231","39/21355",0.812678710905758,0.848257192446124,0.168268363123592
"GSE25147_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_MKN45_CELL_DN","GSE25147_UNSTIM_VS_HELIOBACTER_PYLORI_LPS_STIM_MKN45_CELL_DN","29/4231","167/21355",0.813366625466768,0.848802386429694,0.168376512986649
"GSE14413_UNSTIM_VS_IFNB_STIM_L929_CELLS_DN","GSE14413_UNSTIM_VS_IFNB_STIM_L929_CELLS_DN","20/4231","118/21355",0.814385821344907,0.849693002282515,0.168553184016451
"GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_7MO_CORRELATED_WITH_ANTIBODY_RESPONSE_POSITIVE","GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_7MO_CORRELATED_WITH_ANTIBODY_RESPONSE_POSITIVE","3/4231","21/21355",0.815983812763071,0.850840729093471,0.168780858020883
"SOBOLEV_PBMC_PANDEMRIX_AGE_18_64YO_HIGH_VS_LOW_RESPONDERS_MEDIUM_HIGH_ADVERSE_EVENTS_SCORE_1DY_CORRELATED_WITH_TRANSITIONAL_B_CELLS_UP","SOBOLEV_PBMC_PANDEMRIX_AGE_18_64YO_HIGH_VS_LOW_RESPONDERS_MEDIUM_HIGH_ADVERSE_EVENTS_SCORE_1DY_CORRELATED_WITH_TRANSITIONAL_B_CELLS_UP","3/4231","21/21355",0.815983812763071,0.850840729093471,0.168780858020883
"SOBOLEV_T_CELL_PANDEMRIX_AGE_18_64YO_7DY_DN","SOBOLEV_T_CELL_PANDEMRIX_AGE_18_64YO_7DY_DN","3/4231","21/21355",0.815983812763071,0.850840729093471,0.168780858020883
"GSE13229_MATURE_VS_INTMATURE_NKCELL_UP","GSE13229_MATURE_VS_INTMATURE_NKCELL_UP","35/4231","200/21355",0.818808655501852,0.853265535292233,0.169261865636958
"GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN","GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN","35/4231","200/21355",0.818808655501852,0.853265535292233,0.169261865636958
"GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP","GSE22935_UNSTIM_VS_48H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP","35/4231","200/21355",0.818808655501852,0.853265535292233,0.169261865636958
"GSE12963_UNINF_VS_ENV_AND_NEF_DEFICIENT_HIV1_INF_CD4_TCELL_UP","GSE12963_UNINF_VS_ENV_AND_NEF_DEFICIENT_HIV1_INF_CD4_TCELL_UP","24/4231","141/21355",0.825949278865615,0.860463553154455,0.170689732909051
"GSE2706_LPS_VS_R848_AND_LPS_2H_STIM_DC_UP","GSE2706_LPS_VS_R848_AND_LPS_2H_STIM_DC_UP","33/4231","190/21355",0.826051725531227,0.860463553154455,0.170689732909051
"QIU_PBMC_HEPTATITIS_B_SURFACE_ANTIGEN_AGE_UNDER50_NON_RESPONDERS_VS_RESPONDERS_3DY_UP","QIU_PBMC_HEPTATITIS_B_SURFACE_ANTIGEN_AGE_UNDER50_NON_RESPONDERS_VS_RESPONDERS_3DY_UP","2/4231","15/21355",0.828601475643322,0.862944161752878,0.171181810019771
"GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_DN","GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_DN","34/4231","196/21355",0.831227474405444,0.86534837139939,0.171658731907882
"GSE37301_HEMATOPOIETIC_STEM_CELL_VS_CD4_TCELL_DN","GSE37301_HEMATOPOIETIC_STEM_CELL_VS_CD4_TCELL_DN","25/4231","147/21355",0.831247635733631,0.86534837139939,0.171658731907882
"MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_VACCINATED_VS_CONTROL_TREATED_IN_VITRO_WITH_WILD_TYPE_MVA_6HR_UP","MATSUMIYA_PBMC_MODIFIED_VACCINIA_ANKARA_VACCINE_AGE_18_55YO_VACCINATED_VS_CONTROL_TREATED_IN_VITRO_WITH_WILD_TYPE_MVA_6HR_UP","5/4231","34/21355",0.831797190877606,0.865744649835251,0.171737341466795
"GSE21927_SPLEEN_VS_TUMOR_MONOCYTE_C57BL6_UP","GSE21927_SPLEEN_VS_TUMOR_MONOCYTE_C57BL6_UP","33/4231","191/21355",0.83487953228475,0.868776387026315,0.172338745686063
"GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGM_BCELL_DN","GSE7218_UNSTIM_VS_ANTIGEN_STIM_THROUGH_IGM_BCELL_DN","20/4231","120/21355",0.836880357275862,0.870681695026602,0.172716700699365
"GSE24814_STAT5_KO_VS_WT_PRE_BCELL_UP","GSE24814_STAT5_KO_VS_WT_PRE_BCELL_UP","34/4231","197/21355",0.839752244102681,0.873492289624664,0.173274236970948
"GSE13522_WT_VS_IFNG_KO_SKIN_DN","GSE13522_WT_VS_IFNG_KO_SKIN_DN","21/4231","126/21355",0.841688053686187,0.875328253843659,0.173638436292374
"GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_UP","GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_UP","32/4231","187/21355",0.847096822919591,0.880774505940329,0.174718806648943
