"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_id"
515.385834417464,1.98377833082859,0.099121236383573,3.29025501107436e-90,5.81618378307614e-86,"ABCA1"
750.837262636804,-1.84711070839433,0.100136197682757,4.81391099032015e-77,4.25477522879446e-73,"CIT"
829.085959452706,-1.81198835370445,0.100986315312249,7.04373648463242e-73,4.15040432796158e-69,"WDR62"
694.933180849687,-1.85778240045981,0.106618968473902,4.51494222029153e-69,1.99526584070233e-65,"LOC100288637"
490.761329420426,-1.98436484573291,0.116920379803493,1.2112442665887e-65,4.28223298009768e-62,"KIF18B"
487.985119866123,-2.01218467747403,0.119731433301281,1.24271089469987e-64,3.66123341426825e-61,"DIAPH3"
683.812167731356,-1.80134316926549,0.111923598080682,8.81137426151623e-60,2.22512375458318e-56,"HJURP"
512.188746683611,-1.8488372154455,0.119422212024565,2.38712704472688e-55,5.27465559620463e-52,"MCM5"
240.276229286252,2.29745271237196,0.152128577205505,1.29914187419066e-52,2.55165899000759e-49,"SULF2"
502.502638792411,-1.80556557397435,0.119715029832769,2.44351211018637e-52,4.31939635717645e-49,"POLE"
330.206070197649,1.83451904242826,0.122536724288761,8.25326077288695e-52,1.32629900620293e-48,"NABP1-OT1"
422.005430615062,-1.84945457376294,0.124699418595033,8.5134396945738e-51,1.25410061234151e-47,"TICRR"
479.942985106568,-1.81688165128761,0.125107411580788,7.24835491204689e-49,9.85608998309638e-46,"FANCI"
369.406084016399,-2.01177581620686,0.139919383845333,6.11618273213329e-48,7.72255443970858e-45,"POLQ"
466.486840611977,-2.00471121785692,0.139558256439919,8.66585904569608e-48,1.02124260233846e-44,"ATAD2"
2325.51467364299,0.977951454898831,0.0682970465406486,2.09963550347799e-47,2.31970354968628e-44,"BCL2L1"
420.448387110623,-1.79319457953238,0.126516721586832,1.49508978824252e-46,1.55462954039782e-43,"NCAPG2"
821.375440100108,-1.1390119185194,0.0808071141524228,3.38447750040847e-46,3.32374493192892e-43,"PMEPA1"
446.753675606187,1.90730918140379,0.135648647232839,7.29702365393068e-46,6.78892037529119e-43,"MAP2"
213.183148180443,2.36012858395021,0.170491054270423,1.10858911394166e-44,9.79826488357337e-42,"KCNQ3"
505.254413501298,1.37861457217903,0.100959212808638,1.82182117354839e-43,1.53353966118166e-40,"MBD5"
474.629453094533,1.51193602340563,0.11100575594351,2.98798872242483e-43,2.40084893846835e-40,"FBN2"
532.667541087743,-1.81534604597667,0.133811279693626,5.44291129568532e-43,4.18323230320997e-40,"MELK"
613.118450709949,-1.67097391111441,0.12356904933123,6.75921083925341e-43,4.9784404168951e-40,"FANCA"
275.556903132943,-2.31023919640122,0.170812108965723,8.74402115038546e-43,6.18272247501455e-40,"MYBL2"
550.751475870367,1.31424128276836,0.0972760811568199,1.30857360261674e-42,8.89679060517545e-40,"PURPL"
313.05582322215,-1.94890945959636,0.146242293698327,1.96506813277715e-41,1.28653738455932e-38,"NCAPH"
321.013333421272,-2.11779800895321,0.159709304049339,2.91096412621007e-41,1.83775403067912e-38,"TK1"
627.544431601923,1.78130987657273,0.134324385357407,3.16672350429172e-41,1.93028177190913e-38,"CDKN1A"
366.116734501824,-1.79534611386596,0.135600491375128,4.60383596495184e-41,2.71273361174846e-38,"CENPM"
215.871118055438,2.32337670744285,0.17691879222288,2.00362950834863e-40,1.14252125222834e-37,"CYP3A5"
409.846240491972,-1.83149948691117,0.139868318072041,2.74344764994231e-40,1.51549762837594e-37,"LMNB1"
1617.15214352864,0.998521974156333,0.0760740862514045,3.78650566598104e-40,2.02830486841051e-37,"GLS"
581.507532613044,-1.27949075768298,0.0980179519147932,5.42785431610359e-40,2.82200531605186e-37,"ST6GAL2"
94.0650153351552,3.66091782394625,0.281422673986729,1.45367500401844e-39,7.341889441724e-37,"FBXW10"
1493.59563986265,1.86634245075223,0.144296435114666,2.13084810744833e-39,1.04630561098234e-36,"MDM2"
325.222824461456,-1.96373585585257,0.151952120884327,2.46075321143076e-39,1.17564147347193e-36,"KIF4A"
296.372395084277,-2.01668872107829,0.156103974955803,3.10011683965977e-39,1.44212540459646e-36,"BLM"
488.613418491723,-1.51014219097049,0.116896640803115,3.39604186107215e-39,1.53927774303006e-36,"BRIP1"
382.907506997689,1.65360519933352,0.130152085041018,4.81183912496371e-38,2.12647200529959e-35,"SPATA6L"
466.521106132986,-1.61973752936291,0.128608615732152,1.92771348442876e-37,8.31126616201151e-35,"KNTC1"
187.495272007481,2.37965518116667,0.190123470341582,7.12910355776164e-37,3.00050389501315e-34,"ABCG1"
537.594611749164,-1.62718026665661,0.130772964197393,1.19920570910949e-36,4.92985100463453e-34,"CEP128"
322.581365408486,-1.89044394434699,0.152276918305128,2.11002099661757e-36,8.47700935391109e-34,"PRR11"
249.779433141486,1.88495670128497,0.153068910422758,6.081123316157e-36,2.38880037466016e-33,"TM4SF20"
284.026686479701,-1.99045021258948,0.16211826092853,1.08453896698565e-35,4.16769463465335e-33,"ESPL1"
364.815904078964,1.89442591632564,0.156181100246985,2.89606165341067e-35,1.08922727334767e-32,"CDRT1"
443.459566261508,-1.44069508668447,0.11839491865601,3.46738287366161e-35,1.27693598036909e-32,"RTTN"
235.808249014285,-2.09722836164434,0.172398523911101,4.86994588883042e-35,1.75685782605827e-32,"FOXM1"
555.390180045334,-1.32533055231529,0.108863578681432,5.63593140800198e-35,1.99252718998502e-32,"ECT2"
743.7059052301,1.32341210715132,0.109621086091619,1.34762775848228e-34,4.67098350719436e-32,"AKR1B1"
434.663775618161,-1.93966274452683,0.161501132579286,1.84941003034513e-34,6.28692713584826e-32,"MIR924HG"
186.07712090566,1.83509794242056,0.155195191412516,2.24486764079218e-33,7.48726892194027e-31,"LINC02532"
484.441735345571,-1.30820612842575,0.111668909230026,9.54669435448609e-33,3.12512807600464e-30,"DNMT1"
374.370139560383,-1.51339715143298,0.129690111072225,1.42329511160132e-32,4.5628383612985e-30,"CHAF1A"
242.559063273891,-1.83429435768673,0.156938612754407,1.44548819501452e-32,4.5628383612985e-30,"MCM10"
323.685189694234,-1.62951119468238,0.140153910059003,2.60267047205167e-32,8.07147472534339e-30,"CENPK"
292.988240424953,-1.63479629929915,0.141257554913839,3.73210737930299e-32,1.13745624386102e-29,"UHRF1"
211.265398308621,1.74771586963968,0.151384895282114,6.95774853420405e-32,2.08461221761229e-29,"LOC101929555"
