UniqueCount	AmbigCount
0	0
2	202
0	202
0	202
0	202
0	181
0	200
0	200
0	200
0	202
0	202
0	200
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	23
0	23
0	24
0	23
0	24
0	10
0	10
0	225
38	225
16	226
2	226
5	225
5	0
2	6
0	6
46	0
2	106
64	106
74	0
0	1110
5	89
3	940
0	1110
13	970
0	1093
0	1114
0	981
0	1193
0	1060
4	1108
0	787
0	40
0	62
0	63
0	22
4	22
5	663
0	675
6	654
2	652
0	633
0	690
15	682
6	654
1	625
0	679
0	668
0	634
0	623
7	0
0	127
0	142
0	127
0	0
0	0
0	1
0	186
0	186
0	185
0	82
2	77
0	94
83	0
0	0
0	0
12	0
0	90
0	90
0	69
0	40
20	62
0	63
0	90
0	67
0	67
63	0
0	105
9	105
0	105
0	127
0	132
0	109
0	123
0	131
41	0
0	0
0	0
3	96
0	96
0	96
0	274
0	308
0	308
1	309
0	311
0	308
0	0
1	0
0	0
0	0
0	0
0	0
3	0
0	25
0	25
0	31
0	31
2	31
1	0
0	0
0	0
0	0
34	0
0	6
3	6
0	97
0	84
3	84
1	97
47	0
8	51
0	51
0	51
16	37
0	37
0	37
0	31
1	0
0	0
0	0
0	0
38	0
9	147
0	147
652	0
0	103
0	179
0	169
3	169
0	52
0	50
0	57
0	0
0	0
0	49
0	49
0	56
0	0
0	0
0	0
0	0
0	0
0	0
8	79
0	79
0	76
0	0
0	0
0	0
0	0
0	0
0	0
40	0
55	187
0	187
194	0
22	0
0	9445
21	9445
43	0
1	0
0	0
0	63
7	63
0	0
38	617
0	615
0	504
0	540
0	540
648	156
0	156
0	6
0	6
0	4
0	72
1	72
136	0
0	212
0	218
1	168
0	168
20	162
0	4
0	218
0	0
0	0
0	215
0	215
13	324
4	394
0	497
5	391
754	0
37	190
101	0
1	70
0	190
7	190
6	93
8	93
1769	0
0	0
0	0
0	0
0	0
122	0
81	0
0	188
0	188
215	0
3	46
17	46
4	42
0	43
29	43
0	0
0	0
0	0
0	0
0	0
0	0
12	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	21
0	21
0	21
0	0
0	20
0	20
0	20
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
33	0
52	0
0	22
0	22
0	19
9	19
0	0
48	0
47	0
7	424
10	421
0	520
3	434
54	0
0	43
0	65
0	66
0	70
0	445
0	571
0	618
0	492
2	322
0	0
7	53
0	53
0	737
0	737
0	1
0	1
0	1
0	0
0	0
0	0
0	0
4	368
1	368
26	368
0	0
119	0
0	148
0	210
116	205
5	143
0	0
2	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
35	40
0	40
114	0
29	171
22	177
0	3
0	3
2	114
0	114
0	0
27	0
0	626
67	626
19	566
248	0
0	0
0	0
0	0
4	0
2690	106
36	0
114	0
177	0
0	810
0	810
88	807
38	0
3	139
34	139
0	7
0	7
0	7
36	0
34	0
0	212
0	212
0	212
4	0
263	0
0	223
5	223
0	154
0	157
2	158
0	149
3	154
20	0
59	0
0	18
0	18
0	19
4	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	3
0	3
0	3
0	0
0	0
0	0
0	3
0	12
0	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	10
0	0
5	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
46	0
9	0
0	333
0	333
0	285
1	0
0	0
0	0
0	18
0	18
0	18
46	26
0	15
0	18
49	364
47	364
