"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P:1:15947:16606",48.5128891091314,0.86042082649414,0.455702043406678,1.88812150163277,0.0590096409167473,0.0910902312989408
"WASH7P:1:17368:17605",48.1154896358904,0.880183454295001,0.484700125811491,1.81593403307125,0.0693804919324699,0.103580866519878
"WASH7P:1:18366:24737",82.1143580822361,0.140067407073565,0.475581516760354,0.294518189074504,0.768361966567079,0.787483920495823
"LINC01128:1:829104:851926",104.700171811883,0.959497529871176,0.426175225537491,2.25141555016733,0.0243592301478332,0.0458406947011769
"LINC01128:1:829104:852670",133.26488473321,0.959084731787883,0.403723397950748,2.37559858223745,0.0175205115374527,0.0355605276385347
"LINC01128:1:852110:853390",35.4761777563487,0.97208859867636,0.515810876457818,1.88458336774885,0.0594861095738228,0.0916459152074619
"LINC02593:1:917720:918021",97.5001652948929,-0.121752531250631,0.41610745228411,-0.292598776066862,0.769828849403469,0.78885384938619
"LINC02593:1:918115:918824",133.176465231207,-0.445776382880622,0.401228337494824,-1.11102916026307,0.266555797820162,0.309924449659276
"LINC02593:1:918175:918824",115.665489809026,-0.457334040050281,0.402705250808857,-1.13565452432443,0.256101179890324,0.299591645777271
"LINC02593:1:918915:919334",69.7444744532482,-0.445371713986219,0.42671030362622,-1.04373320775574,0.296608841351909,0.339523581880074
"LOC107985728:1:923461:925517",60.2812164621877,0.0558470094569015,0.481683810008319,0.115941221806764,0.907699125695718,0.916061462291689
"SAMD11:1:924948:925921",46.6991006805111,1.10508033227866,0.517916264469499,2.13370463159829,0.0328669667035138,0.0577852326425633
"SAMD11:1:926013:930154",404.924581589187,1.33226864987858,0.538133490437283,2.47572149578721,0.0132967255560753,0.0287064268517991
"SAMD11:1:931089:935771",195.655017569118,1.21227785812565,0.407351485670583,2.97599959928954,0.00292035243584469,0.00890832500225176
"SAMD11:1:935896:939039",69.2313192373509,0.684089393117143,0.440639803117332,1.55249114645911,0.120544749509484,0.161007174083012
"SAMD11:1:939129:939274",45.7303805582486,0.846061759536471,0.473240218810549,1.78780612024688,0.0738072931206544,0.10876646905605
"SAMD11:1:939412:941143",126.498366509778,0.495341022584606,0.432054021793842,1.14647936970475,0.251596858596974,0.295143124589881
"SAMD11:1:939460:941143",89.4587680975114,0.180734966588352,0.45277092121738,0.399175296201452,0.689764044478261,0.714216153327897
"SAMD11:1:941306:942135",106.486657119534,0.883597570108416,0.444655375576531,1.98715144051224,0.0469056172002568,0.0760120806220131
"SAMD11:1:942251:942409",56.2830830991412,0.242224284951452,0.480374605962477,0.504240403104014,0.614092451587599,0.643183779538463
"SAMD11:1:942488:942558",73.8886687951603,0.958695260791757,0.454911518216297,2.10743237399394,0.0350801178528519,0.0607437032844909
"SAMD11:1:943058:943252",208.582579092421,0.6923656578408,0.403081495714883,1.71768157358069,0.0858547121345757,0.122518168783998
"SAMD11:1:943808:943907",174.314765701125,0.61445832025106,0.424753588710538,1.44662302234203,0.148002534597639,0.189978504542746
"NOC2L:1:944800:945056",341.303553750171,1.06261056183565,0.403522577058884,2.6333360814173,0.00845506372014596,0.020229312575552
"NOC2L:1:945653:946172",69.8024733179832,1.35739920738268,0.414279627686942,3.27652898348268,0.00105091525815822,0.00411581299611889
"NOC2L:1:946545:948130",115.559879932717,1.11197135215394,0.400730885882541,2.77485811882209,0.00552257947231139,0.014538800654172
"NOC2L:1:954082:955922",230.745312191328,0.753158609937488,0.375515547471764,2.00566558431011,0.0448919394367917,0.0734579154267856
"NOC2L:1:957273:958928",167.948506973994,0.473976616413339,0.40495004690816,1.17045699841797,0.241817109465125,0.285667680855847
"KLHL17:1:960800:961292",83.7328459162137,1.12183691578564,0.454590830562161,2.46779486158649,0.0135948203579182,0.0291990515636866
"KLHL17:1:961552:961628",56.0104940565109,1.58572149034955,0.463132558502425,3.4239041527918,0.000617283882819451,0.00276913805815458
"KLHL17:1:962047:962354",140.428974776413,0.787477927441111,0.378443714213623,2.0808323612335,0.037449252965844,0.0638837096028909
"KLHL17:1:962917:963108",75.3616267797947,0.820609099987352,0.401819271208818,2.04223430478748,0.0411282951582451,0.0686953318920105
"KLHL17:1:963253:963336",45.2285379555755,1.13338943038312,0.508081748643587,2.23072258235786,0.025699510826731,0.047794655027855
"KLHL17:1:963504:963919",172.542725426201,0.938810338485622,0.392266304226573,2.39329845151157,0.0166976524422248,0.0342171398179263
"KLHL17:1:964180:964348",60.1024197080528,1.56926976845155,0.445661694104747,3.5212130394198,0.000429577340115074,0.00211589281135304
"HES4:1:999613:999691",90.7753423815671,0.656721417672683,0.454813562352811,1.44393543208205,0.148757138674148,0.190773307020793
"HES4:1:999787:999865",83.6496230574401,1.03948569794382,0.43270705706323,2.40228505862322,0.0162930064353629,0.033560428972151
"AGRN:1:1035324:1040664",206.854607545634,0.306379291348053,0.469091711365363,0.653133031185498,0.513670519238185,0.548328570659559
"AGRN:1:1042162:1043238",175.409007918564,1.34429532358925,0.478419771933566,2.8098657339269,0.00495621714736182,0.0133911368168249
"AGRN:1:1045523:1045732",76.8739726726899,2.04955714790959,0.45127311600364,4.54172224142212,5.5796523881077e-06,9.20756638570352e-05
"AGRN:1:1045876:1045963",45.1894368016754,1.41783583469589,0.474873764667449,2.98571102509482,0.00282919857770775,0.00868941495837345
"AGRN:1:1046088:1046159",43.3148105490199,1.34146721717275,0.493325192587308,2.71923517657239,0.0065433067263329,0.0165553456015986
"AGRN:1:1046265:1046396",110.619998109453,1.90435953087062,0.48119590127528,3.95755559393508,7.57206676582815e-05,0.000594027755253954
"AGRN:1:1046957:1047326",97.9807742063764,0.942934267936829,0.549732458307004,1.71526031197204,0.0862975115511598,0.123016141192501
"AGRN:1:1047454:1047572",63.417739892604,3.25803015601291,0.491426332418943,6.62974273270205,3.36272435806994e-11,1.18132636169991e-08
"AGRN:1:1048365:1048866",57.4420053829561,0.0418055374346073,0.510194428876628,0.081940403635251,0.934694104994169,0.941047601569582
"AGRN:1:1051815:1051992",64.3326469917716,-0.152098840781249,0.474586461871883,-0.320487104038608,0.748599104744841,0.769115973853734
"AGRN:1:1051815:1053752",427.510892702599,0.152055588769706,0.392598038386638,0.387306032894537,0.698529659801654,0.722637867774248
"AGRN:1:1052016:1053460",317.557298703778,0.171367796387301,0.401983011951873,0.42630606590862,0.669884838397237,0.695605917572571
"AGRN:1:1053493:1053752",113.568491789661,0.109145788421837,0.445091038142515,0.245221267265528,0.806285110125707,0.822579458837387
"AGRN:1:1053977:1054447",84.3741839744473,0.778985742385422,0.43430512206213,1.79363701419571,0.0728711245928481,0.107699691325122
"AGRN:1:1054551:1054823",158.819346526193,0.616823860690051,0.38762549964688,1.59128814087816,0.111544744472237,0.151297950727322
"LOC100288175:1:1060393:1063078",71.610937024459,-0.266068099855143,0.447697290928982,-0.594303573521846,0.552309088953786,0.584762086438146
"LOC100288175:1:1063201:1065829",83.9756532719697,0.0202994829179164,0.423721454235151,0.0479076117459251,0.961789873062189,0.965551409778008
"C1orf159:1:1082987:1083914",116.566383890764,0.47041348919495,0.41366082878222,1.13719611929369,0.255456308905047,0.298912302734275
"C1orf159:1:1082987:1084352",207.371079334461,0.405655309356197,0.383103241080271,1.05886681671587,0.289660438532122,0.332732990231477
"C1orf159:1:1090428:1091471",57.5599415298385,0.533691796581535,0.451005938015709,1.183336518649,0.236675805229408,0.280452704359922
"C1orf159:1:1092103:1115021",679.091954056156,0.967121107438043,0.435132335707898,2.22259075705021,0.0262434080399559,0.0485716725933362
"C1orf159:1:1092103:1116059",690.163982726037,0.964294576614892,0.436379351015185,2.2097621584788,0.0271216732798532,0.0498287643108066
"SDF4:1:1217688:1218457",96.9557289786181,0.699273984471116,0.406428927394465,1.72053202254579,0.0853357779774599,0.121900492692335
"SDF4:1:1218633:1218768",39.0028836481355,2.67051813394216,0.52050364000671,5.13064257131368,2.88754754934049e-07,1.12564184679213e-05
"SDF4:1:1218927:1223243",608.691703658445,0.725028703367348,0.348154961301133,2.08248850068875,0.0372978721688249,0.0636864478864436
"UBE2J2:1:1255487:1256044",54.2608603361738,0.463728873987016,0.496838652167867,0.933359093467502,0.350634593625456,0.392213251236895
"UBE2J2:1:1256125:1256991",65.3145848681901,0.15128030477632,0.445642821463208,0.339465368879076,0.734259181473545,0.755870086061922
"UBE2J2:1:1257310:1263345",400.645778314874,1.12953305779229,0.373629103168706,3.0231399219516,0.00250166544808463,0.00791292769316619
"UBE2J2:1:1263386:1264782",80.4643503301771,1.77922628282068,0.470433850270449,3.78209663653629,0.000155512963004564,0.00100435178953662
"UBE2J2:1:1263386:1267732",260.94749211913,2.11480927659679,0.395274953971256,5.35022332012106,8.78457613919312e-08,4.77168701360762e-06
"UBE2J2:1:1263386:1267861",296.220100458396,2.13316382348907,0.397442369398225,5.36722802533342,7.99559457054904e-08,4.4691207648393e-06
