"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC01128:1:829104:851926",53.5902529119532,0.0288581816960198,0.491289859348289,0.0587396241687159,0.953159498285686,0.999945670304543
"LINC01128:1:829104:852670",99.2544316099743,0.0311439935122509,0.457296459605918,0.0681046022947341,0.945702366764168,0.999945670304543
"LINC01128:1:852110:853390",47.5940816506631,0.533545836221096,0.540613934679487,0.986925793056774,0.323679018573138,0.888771189877686
"LINC02593:1:917720:918021",19.9604879472137,-4.02818303277396,0.915830214831568,-4.39839499455125,1.09054367647958e-05,0.00342526376140594
"LINC02593:1:918115:918824",19.7019930907231,-3.27758115460918,0.866383986749358,-3.78305832602764,0.000154913094865573,0.019269505102786
"LINC02593:1:918175:918824",17.441831494535,-3.072783527506,0.890845089122166,-3.44929052764258,0.00056206162177636,0.0421028837433564
"LINC02593:1:918915:919334",13.1486396519051,-3.0440093856426,0.92426361864871,-3.29344282759176,0.000989684668464583,0.0616860202291201
"SAMD11:1:935896:939039",58.0371493815736,-0.535840779043702,0.471772225858066,-1.13580399539016,0.256038604566914,0.852700365315299
"SAMD11:1:939129:939274",38.877421486699,-0.867619652542293,0.5074407289221,-1.70979506194798,0.0873037764783055,0.627836718333442
"SAMD11:1:939412:941143",85.9149548765323,-0.451464058475674,0.459260796149253,-0.98302328929673,0.325595976548905,0.889405608702258
"SAMD11:1:939460:941143",55.3456535230261,-0.28427153659804,0.503181418085869,-0.564948399087202,0.572108862388357,0.962105317965007
"SAMD11:1:941306:942135",54.1647468542185,-0.407931921622811,0.459779708713428,-0.887233416116385,0.37495324506456,0.90865006000008
"SAMD11:1:942251:942409",39.260844795522,-0.658141169089466,0.516025839402725,-1.27540351438841,0.202166455415595,0.815225464125899
"SAMD11:1:942488:942558",22.1106323923958,-0.538324569018365,0.614499535062625,-0.876037390269958,0.381009707494565,0.910223751437844
"SAMD11:1:943058:943252",16.0655004921677,-0.969169349010793,0.721405978309517,-1.34344513096754,0.179127881588261,0.791638228603958
"SAMD11:1:943808:943907",69.7820451829779,-0.286621780377748,0.451642593585986,-0.63462079185669,0.525675764362968,0.953117616710805
"NOC2L:1:944800:945056",192.179549876051,-0.159010345015156,0.489958530458436,-0.324538374434211,0.745530474428563,0.983547554157515
"NOC2L:1:954082:955922",33.113539757078,0.187810868049627,0.535579380404969,0.350668593528782,0.725836989854811,0.980711132482221
"NOC2L:1:957273:958928",13.6162199412255,0.0054624654543379,0.739407065897141,0.00738762950244484,0.994105578095829,0.999973345047893
"KLHL17:1:962047:962354",15.1707208936908,0.0642871617072927,0.80671355181394,0.0796901968024951,0.936483656474921,0.999655709169708
