"","DMSO_Chromatin_rep1","DMSO_Chromatin_rep2","DMSO_Chromatin_rep3","DMSO_Cytoplasm_rep1","DMSO_Cytoplasm_rep2","DMSO_Cytoplasm_rep3","DMSO_Nucleoplasm_rep1","DMSO_Nucleoplasm_rep2","DMSO_Nucleoplasm_rep3","GSK591_Chromatin_rep1","GSK591_Chromatin_rep2","GSK591_Chromatin_rep3","GSK591_Cytoplasm_rep1","GSK591_Cytoplasm_rep2","GSK591_Cytoplasm_rep3","GSK591_Nucleoplasm_rep1","GSK591_Nucleoplasm_rep2","GSK591_Nucleoplasm_rep3"
"WASH7P:1:15947:16606",21.9685840906916,40.9596529483202,40.3109462602993,7.24154459686908,6.79102674867967,1.46639530737164,0.552686339194349,0.930850146373458,1.72332924762723,66.5695610443881,69.2275574802184,52.0410328308707,0,0,2.01629086619352,0,0.479703923769796,0
"WASH7P:1:17368:17605",21.9685840906916,52.4795553400353,27.2371258515536,1.81038614921727,0,0,0.276343169597175,2.32712536593364,0.344665849525447,82.102458621412,54.5429240753236,50.3622898363265,3.99814477522331,5.11285706762868,2.01629086619352,0.980212162437105,0,0.515922976469448
"WASH7P:1:18366:24737",34.6872380379342,119.038991381056,80.6218925205986,7.24154459686908,13.5820534973593,0,1.1053726783887,0,0.689331699050893,82.102458621412,109.085848150647,67.1497197817687,13.9935067132816,2.55642853381434,8.06516346477408,1.96042432487421,0,0.257961488234724
"LINC01128:1:829104:851926",45.0934094493144,72.9593818141954,94.7851979634065,65.1739013718218,40.746160492078,52.790231065379,4.97417705274914,4.65425073186729,4.13599019430536,153.109990402093,169.922186542354,92.3308646999319,83.9610402796894,34.5117852064936,44.3583990562575,5.39116689340408,4.31733531392817,2.83757637058196
"LINC01128:1:829104:852670",58.9683046644881,101.119143216166,111.127473474339,121.295871997557,81.492320984156,90.9165090570416,6.35589290073502,9.77392653692131,6.54865114098349,186.394770924287,216.073891529167,125.905724590816,155.927646233709,51.1285706762868,94.7656707110955,9.80212162437105,10.0737823991657,4.90126827645975
"LINC01128:1:852110:853390",15.0311364831048,39.6796637936852,17.4317605449943,48.8804260288663,40.746160492078,26.3951155326895,1.38171584798587,4.65425073186729,3.44665849525447,48.817678099218,48.2495097589401,43.6473178581496,75.9647507292428,23.0078568043291,70.5701803167732,4.90106081218553,5.27674316146776,2.06369190587779
"LINC02593:1:917720:918021",60.1245459324192,120.318980535691,124.201293883084,41.6388814319972,31.2387230439265,39.5926732990343,3.3161180351661,4.18882565868056,4.48065604383081,108.730283039167,86.009995657241,85.615892721755,3.99814477522331,1.27821426690717,2.01629086619352,0,0.959407847539592,0.515922976469448
"LINC02593:1:918115:918824",93.6555427024223,204.798264741601,162.333270075259,43.4492675812145,23.0894909455109,39.5926732990343,3.3161180351661,8.37765131736112,6.20398529145804,124.263180616191,104.890238606392,109.118294645374,1.99907238761165,0,10.0814543309676,0.490106081218553,0,0.773884464704172
"LINC02593:1:918175:918824",84.4056125589731,176.638503339631,140.543569394016,39.82849528278,19.0148748963031,33.7270920695477,3.03977486556892,8.37765131736112,5.51465359240715,106.511297671021,90.2056052014967,95.6883506890204,1.99907238761165,0,10.0814543309676,0.490106081218553,0,0.257961488234724
"LINC02593:1:918915:919334",65.9057522720749,111.359056453246,64.2796170096665,30.7765645366936,19.0148748963031,20.5295343032029,2.76343169597175,3.72340058549383,2.41266094667813,51.0366634673642,67.1297527080906,58.7560048090476,3.99814477522331,2.55642853381434,2.01629086619352,0.980212162437105,1.43911177130939,0
"LOC107985728:1:923461:925517",39.3122031096587,56.3195228039403,81.7113775546608,9.05193074608636,9.50743744815153,21.9959296105746,0.829029508791524,1.86170029274692,1.03399754857634,33.2847805221941,92.3034099736246,58.7560048090476,11.9944343256699,5.11285706762868,8.06516346477408,2.45053040609276,0.479703923769796,0.515922976469448
