"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC01128:1:829104:852670",7.90927381310606,0.118331448648527,0.632884478090772,0.186971639761965,0.851682868996342,0.938565018014408
"SAMD11:1:939412:941143",6.81548294712697,-0.0665261911906416,0.657918879465646,-0.101116099973713,0.919458297619991,0.96711418287362
"SAMD11:1:943808:943907",6.64588645456095,-0.597686289527583,0.714602132016218,-0.836390297131129,0.40293536934424,0.718340919023143
"NOC2L:1:944800:945056",62.4750179351431,0.436984518963403,0.460004653416952,0.949956735692665,0.342134236446934,0.680848022820722
"NOC2L:1:954082:955922",6.09536581226616,0.775066244696399,0.719568832718585,1.07712592521294,0.281424012403137,0.639925233711389
"HES4:1:999787:999865",10.1814394526854,-0.236976859509513,0.625597046421547,-0.378801116253721,0.704835558393601,0.872032340387506
"C1orf159:1:1082987:1084352",6.24174837161101,-0.805492840173716,0.760379347259701,-1.05933024493182,0.289449405367681,0.646607430298778
"C1orf159:1:1092103:1115021",5.99239792553936,0.29361207718595,0.746802763574085,0.39315879842325,0.694202198533803,0.86786368210251
"C1orf159:1:1092103:1116059",6.61136101149348,0.345518243934853,0.731781723416439,0.472160253363183,0.636812407597951,0.841352465792722
"SDF4:1:1217688:1218457",21.8582959351381,0.0440255234944777,0.535368590526901,0.0822340426268722,0.934460603008535,0.973633940075939
"SDF4:1:1218927:1223243",6.31963657129032,0.0366167034737206,0.77496504256749,0.0472494905736754,0.962314383766806,0.985301766235464
"UBE2J2:1:1257310:1263345",6.6692532499015,0.0200896636498581,0.670688554163501,0.0299537893186718,0.976103907398361,0.990135931478146
"UBE2J2:1:1263386:1267732",5.65731065595434,0.604414316344668,0.746394220325055,0.809778934356492,0.418067241898539,0.72698095064566
"UBE2J2:1:1263386:1267861",10.6528501815267,0.766018726371278,0.576577345954628,1.32856195573032,0.18399253053381,0.566395350393366
"UBE2J2:1:1263386:1273665",51.1897519933825,0.50057657282691,0.374227502561846,1.33762636203945,0.181018266457637,0.565196530966504
"UBE2J2:1:1264830:1267861",9.55712843024154,0.659798876069552,0.596248325503032,1.10658403193486,0.268473814247544,0.63226688085808
"UBE2J2:1:1267992:1273665",13.3989497124261,1.26904521795728,0.522555749949428,2.42853555449364,0.0151599386111776,0.285193454599878
"PUSL1:1:1308720:1309085",10.3410775738841,-0.545185602858763,0.63472201191536,-0.85893602651906,0.390375811815668,0.711358999087662
"INTS11:1:1315614:1323176",55.1189628716054,-0.186353801266602,0.416192433272348,-0.447758744197676,0.654327320742949,0.849104688159119
"INTS11:1:1315618:1319295",12.0478378179577,-0.192898922962837,0.556358376459557,-0.346717028312522,0.728803916137778,0.882560992663063
"INTS11:1:1315618:1320995",53.9993671643531,-0.204354612284348,0.413754722246032,-0.493902791429246,0.621374833083209,0.834002179394677
"AURKAIP1:1:1374445:1374704",11.4385523313532,0.632202006430588,0.601532447235272,1.05098571047377,0.293265152803853,0.649431440209452
"AURKAIP1:1:1374790:1374996",25.1025806318287,0.525088342135425,0.465250982685998,1.12861307482678,0.259061092673722,0.625916713407012
"AURKAIP1:1:1374790:1375074",76.970033181722,0.720899494560833,0.41122403305491,1.75305778994822,0.0795920879199154,0.4561578498875
"AURKAIP1:1:1374790:1375153",78.7551439569797,0.711031526674922,0.408330633290112,1.74131321215312,0.0816286915369095,0.459151638644714
"CCNL2:1:1390865:1391296",10.1194667843164,0.690611358884279,0.609979611935879,1.13218760983257,0.257555568045467,0.625898238757779
"CCNL2:1:1390865:1392678",41.106897294613,0.945559448018191,0.446363370522218,2.11836255047529,0.0341443749364716,0.359025671415146
"CCNL2:1:1390865:1392789",46.2149713152675,0.953429304364809,0.448409699826627,2.12624594145364,0.0334827866209471,0.354840031731527
"CCNL2:1:1390865:1393395",48.1597176166283,0.963596744659517,0.437618718254298,2.20190934360257,0.0276717128543193,0.335659316373837
"CCNL2:1:1391575:1392678",28.4634312488141,0.938441306070653,0.474989102990457,1.97571123245222,0.0481874920159587,0.398864945050464
"CCNL2:1:1391575:1392789",33.8887354772033,0.942227878252037,0.472123331630328,1.99572403041034,0.0459639699148922,0.394695681695818
"MRPL20-AS1:1:1399689:1400157",7.58056377255827,-0.102466003571414,0.701640860852236,-0.146037680084588,0.883891642875733,0.952356254926234
"MRPL20:1:1402256:1405808",21.0855885818079,0.446676644899122,0.51034974498413,0.875236343878279,0.381445321935452,0.706868986972057
"MRPL20:1:1402601:1405808",10.2788601642503,1.07953287341782,0.607273683000389,1.77767109564853,0.0754578895658191,0.449233242261142
"MRPL20:1:1405886:1406908",12.1036505622919,1.79328370441803,0.697342833801661,2.57159551585508,0.0101231086589012,0.245916624653295
"VWA1:1:1435821:1437321",78.2357117798868,0.623366281131458,0.389541635454472,1.60025585045405,0.109541836723625,0.492569205333077
"SSU72:1:1545002:1564772",17.1387646201622,-0.619576866197385,0.562384194793689,-1.10169679719516,0.270593509837064,0.633659968722935
"MIB2:1:1629311:1629638",6.93641315964881,-0.843790926862893,0.761476288234279,-1.1080987548798,0.26781916865128,0.631962073112519
"CDK11B:1:1642001:1649498",24.5191375281021,0.41896950055365,0.428521588353704,0.977709202850779,0.328218168860867,0.671124797087458
"CDK11B:1:1642508:1649498",23.269416988083,0.519045259963159,0.435863869367646,1.19084259201432,0.233715384855033,0.609798955479071
